"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00090010","ABBEVILLE, GA US","1990-08-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-02","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-03","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-04","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-08","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-09","0.07",,
"USC00090010","ABBEVILLE, GA US","1990-08-10","0.01",,
"USC00090010","ABBEVILLE, GA US","1990-08-11","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-12","0.05",,
"USC00090010","ABBEVILLE, GA US","1990-08-13","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-14","0.03",,
"USC00090010","ABBEVILLE, GA US","1990-08-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-16","0.14",,
"USC00090010","ABBEVILLE, GA US","1990-08-17","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-18","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-19","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-22","0.05",,
"USC00090010","ABBEVILLE, GA US","1990-08-23","0.86",,
"USC00090010","ABBEVILLE, GA US","1990-08-24","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-28","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-29","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-30","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-08-31","0.02",,
"USC00090010","ABBEVILLE, GA US","1990-09-01","0.02",,
"USC00090010","ABBEVILLE, GA US","1990-09-02","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-03","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-04","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-05","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-08","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-09","0.88",,
"USC00090010","ABBEVILLE, GA US","1990-09-10","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-11","0.27",,
"USC00090010","ABBEVILLE, GA US","1990-09-12","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-13","0.01",,
"USC00090010","ABBEVILLE, GA US","1990-09-14","0.16",,
"USC00090010","ABBEVILLE, GA US","1990-09-15","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-16","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-17","0.01",,
"USC00090010","ABBEVILLE, GA US","1990-09-18","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-19","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-20","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-21","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-22","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-23","0.01",,
"USC00090010","ABBEVILLE, GA US","1990-09-24","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-25","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-26","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-27","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-28","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-29","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-09-30","0.01",,
"USC00090010","ABBEVILLE, GA US","1990-10-01","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-02","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-03","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-04","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-05","0.03",,
"USC00090010","ABBEVILLE, GA US","1990-10-06","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-07","0.00",,
"USC00090010","ABBEVILLE, GA US","1990-10-08","0.00",,
